No,Facility Name,Category,Type,Free / Paid,Primary contact,Secandory contact,Email,Provice,District,Nearest Town / City,DS Division / Area,Full Address / Location Detail,Capabilities / Services,Available Hours,Available Doctors / Key Staff,Web site,Other Valuable Points / Notes,HTML code,Submitter Name,Submitter Contact,Submitter e-mail,Agreement
11,Divisional Hospital - Ettampitiya,Mental Health,Government Divisional Hospital,Free,055-2294061,,dhettampitiyarr@gmail.com,Uva Province,Badulla,Ettampitiya,Hali-Ela,Ettampitiya,Mental Health Clinic,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Ettampitiya<div class=""e-mail"">dhettampitiyarr@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2294061"" class=""phone-link"">055-2294061</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
12,Divisional Hospital - Haldummulla,Mental Health,Government Divisional Hospital,Free,057-2050036,057-2268161,haldummulladh@gmail.com,Uva Province,Badulla,Haldummulla,Haldummulla,Haldummulla,Mental Health Clinic,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Haldummulla<div class=""e-mail"">haldummulladh@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2050036"" class=""phone-link"">057-2050036</a><div class=""phone-secondary"">057-2268161</div></td><td>Free</td></tr>",,,,
13,Divisional Hospital - Kandaketiya,Mental Health,Government Divisional Hospital,Free,055-2245661,,kandaketiyadh@gmail.com,Uva Province,Badulla,Kandaketiya,Kandaketiya,Kandaketiya,Mental Health Clinic,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Kandaketiya<div class=""e-mail"">kandaketiyadh@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2245661"" class=""phone-link"">055-2245661</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
14,Divisional Hospital - Koslanda,Mental Health,Government Divisional Hospital,Free,057-2257761,,dhkbadulla@gmail.com,Uva Province,Badulla,Koslanda,Haldummulla,Koslanda,Mental Health Clinic,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Koslanda<div class=""e-mail"">dhkbadulla@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2257761"" class=""phone-link"">057-2257761</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
15,Divisional Hospital - Haputale,Mental Health (Referral),Government Divisional Hospital,Free,057-2268061,,,Uva Province,Badulla,Haputale,Haputale,Haputale,General medical services; MH cases referred to higher centers,Typical government hours (confirm),MO,,Hill station – use for basic support + referral.,"<tr><td>Divisional Hospital - Haputale<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2268061"" class=""phone-link"">057-2268061</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
16,Divisional Hospital - Lunugala,Mental Health (Referral),Government Divisional Hospital,Free,055-2263961,,,Uva Province,Badulla,Lunugala,Lunugala,Lunugala,General + MH referral possible,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Lunugala<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2263961"" class=""phone-link"">055-2263961</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
17,Divisional Hospital - Matigahatenna / Metigahathenna,Mental Health (Referral),Government Divisional Hospital,Free,055-2263861,,,Uva Province,Badulla,Matigahatenna,Various,Matigahatenna,General medical; referral for specialized MH,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Matigahatenna / Metigahathenna<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2263861"" class=""phone-link"">055-2263861</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
18,Divisional Hospital - Uva Paranagama,Mental Health (Referral),Government Divisional Hospital,Free,057-2245160,,,Uva Province,Badulla,Uva Paranagama,Uva-Paranagama,Uva Paranagama,General medical; referral for specialized MH,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Uva Paranagama<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2245160"" class=""phone-link"">057-2245160</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
19,Divisional Hospital - Uraniya,Mental Health (Referral),Government Divisional Hospital,Free,055-5675441,,,Uva Province,Badulla,Uraniya,Various,Uraniya,General medical; referral,Typical government hours (confirm),MO,,,"<tr><td>Divisional Hospital - Uraniya<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-5675441"" class=""phone-link"">055-5675441</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
20,Medium Stay Unit - Meedumpitiya,Mental Health,Government Medium Stay Unit,Free,055-2288098,,,Uva Province,Badulla,Meedumpitiya,Various,Meedumpitiya,Medium Stay Unit for mental health rehabilitation,As per unit schedule (contact for current),MH staff,,Specialized medium-stay rehabilitation resource.,"<tr><td>Medium Stay Unit - Meedumpitiya<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2288098"" class=""phone-link"">055-2288098</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
21,Alcohol Rehabilitation Center - PMCU Haliela,Mental Health / Substance,Government Rehabilitation Centre,Free,055-2222355,,badullardhs@yahoo.com,Uva Province,Badulla,Haliela / Hali-Ela,Hali-Ela,Primary Medical Care Unit Haliela,Alcohol Rehabilitation Center (one of limited national centres),As scheduled (contact for current),Rehab staff / counselors,,Valuable for substance-use related psychological first aid.,"<tr><td>Alcohol Rehabilitation Center - PMCU Haliela<div class=""e-mail"">badullardhs@yahoo.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2222355"" class=""phone-link"">055-2222355</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
22,STD Clinic - Teaching Hospital / PGH Badulla,STD,Government STD Clinic,Free,055-2222261,055-2222578 direct STD line,stdclinic.badulla@gmail.com,Uva Province,Badulla,Badulla,Badulla,"STD Clinic, Room No 73, Daya Gunasekara Mawatha, Badulla (inside PGH/TH)","Full STI/HIV services: diagnosis, treatment, counseling, partner notification, ART, PEP, HIV testing, syphilis & other STI management, PMTCT support. Confidential.",Mon-Fri 8:00am-4:00pm; Sat 8:00am-12:00noon (typical NSACP hours). Closed Sundays & public holidays. Confirm locally.,Dr. Niroshan Jayasekara (Venereologist); Dr. Chrishan / R. Crishan Vedanayagam (MO/IC),,Main STD clinic for entire Badulla district. Highly confidential. Also PEP location via ETU/ICU.,"<tr><td>STD Clinic - Teaching Hospital / PGH Badulla<div class=""e-mail"">stdclinic.badulla@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2222261"" class=""phone-link"">055-2222261</a><div class=""phone-secondary"">055-2222578 direct STD line</div></td><td>Free</td></tr>",,,,
23,Base Hospital - Mahiyanganaya - STD Clinic,STD,Government STD Clinic,Free,055-4936779,,stdclinicmyg@gmail.com,Uva Province,Badulla,Mahiyanganaya,Mahiyanganaya,"STD Clinic, Room 22, Base Hospital, Mahiyanganaya","STI/HIV diagnosis, treatment, counseling, testing, ART support, PEP. Confidential.",Mon-Fri ~8am-4pm; Sat morning (confirm). Closed Sundays & holidays.,Dr. Baratha Dissanayake (Medical Officer); previously Dr. Udari Gallage (Acting Venereologist),,Secondary STD clinic for eastern Badulla. PEP also via ETU/OT.,"<tr><td>Base Hospital - Mahiyanganaya - STD Clinic<div class=""e-mail"">stdclinicmyg@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-4936779"" class=""phone-link"">055-4936779</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
24,Sri Lanka Sumithrayo - Bandarawela Branch,Counseling / Emotional Support,NGO,Free,057-2222662,,,Uva Province,Badulla,Bandarawela,Bandarawela,"Samaja Building / Singha Samaja Building, Senanayake Mawatha, Bandarawela (or Bindunuweva listings)","Emotional support, befriending, suicide prevention counseling (face-to-face, telephone). Confidential.",Typically Wed/Sat/Sun 9am-1pm or daily 9am-1pm (confirm current schedule). National network 9am onwards.,Trained volunteer befrienders,,"Completely free & confidential. Excellent grassroots partner for PFA events. Languages: Sinhala, English, Tamil.","<tr><td>Sri Lanka Sumithrayo - Bandarawela Branch<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:057-2222662"" class=""phone-link"">057-2222662</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
25,National Mental Health Helpline (1926),Mental Health Crisis Support,Government National Helpline,Free,1926,,,National,Island wide,Island-wide (accessible from Badulla),National,National Institute of Mental Health / Directorate of Mental Health,"Immediate crisis support, guidance, referral for mental health emergencies. Available in Sinhala, Tamil, English.",24 hours / 7 days,Trained counselors / MH professionals,,Primary national resource – promote in all PFA materials and events.,"<tr><td>National Mental Health Helpline (1926)<div class=""e-mail""></div></td><td>National</td><td>Island wide</td><td><a href=""tel:1926"" class=""phone-link"">1926</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
26,Regional Director of Health Services (RDHS) Badulla,Mental Health Coordination,Government Health Administration,Free,055-2222355,,badullardhs@yahoo.com,Uva Province,Badulla,Badulla,Badulla,"Office of Regional Director of Health Services, Badulla",District-wide coordination of MH services; Focal Point for Mental Health; permissions & planning support for events,Office hours (weekdays),Medical Officer Mental Health Focal Point (historical: Dr. Janaki Wijayakulasooriya); current via RDHS,,"Essential first contact for official PFA event coordination, permissions and updated institutional lists.","<tr><td>Regional Director of Health Services (RDHS) Badulla<div class=""e-mail"">badullardhs@yahoo.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2222355"" class=""phone-link"">055-2222355</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
27,District Secretariat Badulla - Counseling Services,Counseling / Psychosocial,Other Government,Free,055-2222235,,,Uva Province,Badulla,Badulla,Badulla,"District Secretariat, Badulla",Counselling; Psychosocial support,Office hours (weekdays),Counselors,,Government psychosocial support channel.,"<tr><td>District Secretariat Badulla - Counseling Services<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2222235"" class=""phone-link"">055-2222235</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
28,Divisional Secretariat Badulla - Counseling,Counseling / Psychosocial,Other Government,Free,055-2223437,,,Uva Province,Badulla,Badulla,Badulla,Divisional Secretariat Badulla,Counselling,Office hours,Counselors,,,"<tr><td>Divisional Secretariat Badulla - Counseling<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2223437"" class=""phone-link"">055-2223437</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
29,Divisional Secretariat Bandarawela - Counseling,Counseling / Psychosocial,Other Government,Free,055-2268298,,,Uva Province,Badulla,Bandarawela,Bandarawela,Divisional Secretariat Bandarawela,Counselling,Office hours,Counselors,,,"<tr><td>Divisional Secretariat Bandarawela - Counseling<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2268298"" class=""phone-link"">055-2268298</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
30,Kantha Pihita / Women in Need (WIN) Badulla,Counseling / GBV Support,NGO,Free,055-2224395,,badulla.winsl@gmail.com,Uva Province,Badulla,Badulla,Badulla,"25B, Kailagoda Road, Badulla",Counselling; Awareness programmes (especially women & gender-based violence),As scheduled (contact for current),Counselors,,Valuable for GBV-linked psychological first aid and women's mental health.,"<tr><td>Kantha Pihita / Women in Need (WIN) Badulla<div class=""e-mail"">badulla.winsl@gmail.com</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2224395"" class=""phone-link"">055-2224395</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
31,Sarvodaya Badulla,Counseling / Community Psychosocial,NGO,Free,055-2222581,,,Uva Province,Badulla,Badulla,Badulla,"47, Spring Valley Road, Badulla",Counselling; Community psychosocial support programmes,As per programmes (contact for current),Community workers / counselors,,Strong grassroots presence – good for village-level PFA outreach.,"<tr><td>Sarvodaya Badulla<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2222581"" class=""phone-link"">055-2222581</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
32,Sri Lanka Red Cross - Badulla Branch,Counseling / Emergency Psychosocial,NGO,Free,055-2224496,011-2694487,info@redcross.lk,Uva Province,Badulla,Badulla,Badulla,"43/02, Kumarasinghe Road, Badulla",Counselling; Psychosocial support in emergencies and community programmes,As needed / project-based,Trained volunteers,,Useful partner for disaster or mass psychological first aid events.,"<tr><td>Sri Lanka Red Cross - Badulla Branch<div class=""e-mail"">info@redcross.lk</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2224496"" class=""phone-link"">055-2224496</a><div class=""phone-secondary"">011-2694487</div></td><td>Free</td></tr>",,,,
33,Lions Club / Rotary Club of Uva Hills - Badulla,Community Support / Counseling projects,Service Club / NGO,Free,Contact via local clubs,,,Uva Province,Badulla,Badulla,Badulla,"Bandaranayke Mawatha / Capital City Hotel area, Bank Road, Badulla",Counselling support; Rehabilitation; Community projects,As per club activities,Volunteers,,"Potential partners for logistics, awareness and funding support for PFA events.","<tr><td>Lions Club / Rotary Club of Uva Hills - Badulla<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:Contact via local clubs"" class=""phone-link"">Contact via local clubs</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
34,"Consumer & Carer Associations (PGH Badulla, BH Diyatalawa, BH Welimada)",Peer Support / Mental Health,Consumer / Carer Groups,Free,Via respective hospitals,,,Uva Province,Badulla,Badulla / Diyatalawa / Welimada,Various,Based at listed hospitals,"Peer support, rehabilitation, outpatient support, lived-experience input",As organized by associations,Service users and carers,,Valuable for co-designing PFA content with lived experience.,"<tr><td>Consumer & Carer Associations (PGH Badulla, BH Diyatalawa, BH Welimada)<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:Via respective hospitals"" class=""phone-link"">Via respective hospitals</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
35,Uva Wellassa University - Student Counseling,Counseling (Youth / Students),University Service,Free,055 2226622,,headeag@uwu.ac.lk (or general university contacts),Uva Province,Badulla,Badulla,Badulla,"Passara Road, Badulla 90000",Student counseling; Mental health support for university community,University working hours,Faculty student counselors,,Potential venue or partner for youth-focused PFA events.,"<tr><td>Uva Wellassa University - Student Counseling<div class=""e-mail"">headeag@uwu.ac.lk (or general university contacts)</div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055 2226622"" class=""phone-link"">055 2226622</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
36,Central Hospital Badulla (Private),General + Possible MH Channeling,Private Hospital,Paid,055-2220165,055-2222164 / 055-7700100; Channeling: 055-7700119 - 23,,Uva Province,Badulla,Badulla,Badulla,"No. 45, Bandarawela Road, Badulla",General medical & surgical; Channeling services (may include visiting psychiatrists – check current); 24hr facility,24 hours; Channeling as scheduled via numbers above,Visiting consultants (check eChannelling / Doc.lk for current psychiatrists),,Private paid option. Confirm current psychiatrist availability before referring.,"<tr><td>Central Hospital Badulla (Private)<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:055-2220165"" class=""phone-link"">055-2220165</a><div class=""phone-secondary"">055-2222164 / 055-7700100; Channeling: 055-7700119 - 23</div></td><td>Paid</td></tr>",,,,
37,Perlyn Hospital - Badulla (Private),General + Psychiatrist Channeling,Private Hospital,Paid,Online,,,Uva Province,Badulla,Badulla,Badulla,Badulla,Channeling of specialists including psychiatrists (Dr. Kamal Walgama historically listed),As per channeling schedule,Dr. Kamal Walgama (Psychiatrist) among possible consultants,https://www.doc.lk/,,"<tr><td>Perlyn Hospital - Badulla (Private)<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:Online"" class=""phone-link"">Online</a><div class=""phone-secondary""></div></td><td>Paid<div> <a href=""https://www.doc.lk/"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
38,CCC Foundation Helpline,Counseling,National Helpline / NGO,Free,1333,,info@1333.lk,National,Island wide,Island-wide,National,National,Counseling service,Check current operating hours,Trained counselors,,National counseling resource.,"<tr><td>CCC Foundation Helpline<div class=""e-mail"">info@1333.lk</div></td><td>National</td><td>Island wide</td><td><a href=""tel:1333"" class=""phone-link"">1333</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
39,Sri Lanka Sumithrayo - National / Head Office,Counseling / Emotional Support,NGO National,Free,011-2682535,011-2696666 / 011-2692909,,Uva Province,Badulla,Colombo (covers Bandarawela branch),National,"60/7 or 60B Horton Place, Colombo 07","Emotional support, suicide prevention, befriending (phone, face-to-face, email)",Daily (hours vary by centre; typically from 9am),Trained volunteer befrienders,,Main national emotional support network. Bandarawela is the local branch.,"<tr><td>Sri Lanka Sumithrayo - National / Head Office<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:011-2682535"" class=""phone-link"">011-2682535</a><div class=""phone-secondary"">011-2696666 / 011-2692909</div></td><td>Free</td></tr>",,,,
40,Shanthi Maargam Helpline,Counseling,National / NGO,Free,011-2665126,071-7639898,,Uva Province,Badulla,Island-wide,National,National,Counseling support,Check current,Counselors,,Additional national counseling resource.,"<tr><td>Shanthi Maargam Helpline<div class=""e-mail""></div></td><td>Uva Province</td><td>Badulla</td><td><a href=""tel:011-2665126"" class=""phone-link"">011-2665126</a><div class=""phone-secondary"">071-7639898</div></td><td>Free</td></tr>",,,,
41,CCC Line - Suicide Prevention Hotline,Mental Health Crisis Support,National Helpline,Free,1333,,info@1333.lk,National,Island wide,Island-wide,National,Sri Lanka,Suicide prevention hotline,24-Jul,Counsellors,,"Toll free, 3 languages","<tr><td>CCC Line - Suicide Prevention Hotline<div class=""e-mail"">info@1333.lk</div></td><td>National</td><td>Island wide</td><td><a href=""tel:1333"" class=""phone-link"">1333</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
42,Lanka Life Line,Mental Health Crisis Support,National Helpline,Free,1375,,info@life1375.lk,National,Island wide,Island-wide,National,"160/30 Kirimandala Mawatha, Colombo 5",Crisis counselling and emotional support,24-Jul,Trained crisis supporters,,3 languages,"<tr><td>Lanka Life Line<div class=""e-mail"">info@life1375.lk</div></td><td>National</td><td>Island wide</td><td><a href=""tel:1375"" class=""phone-link"">1375</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
43,Women In Need (WIN) Hotline,GBV Support / Counseling,NGO Hotline,Free,077-5676555,,,National,Island wide,Island-wide,National,Sri Lanka,Counselling and GBV support,24-Jul,,,Women support,"<tr><td>Women In Need (WIN) Hotline<div class=""e-mail""></div></td><td>National</td><td>Island wide</td><td><a href=""tel:077-5676555"" class=""phone-link"">077-5676555</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
44,Family Health Bureau - Mithuru Piyasa,Counseling / GBV Support,Government Hotline,Free,070-2611111,,,National,Island wide,Island-wide,National,Sri Lanka,Emotional support and GBV referrals,,,,,"<tr><td>Family Health Bureau - Mithuru Piyasa<div class=""e-mail""></div></td><td>National</td><td>Island wide</td><td><a href=""tel:070-2611111"" class=""phone-link"">070-2611111</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
45,Sri Lanka Sumithrayo Hotline,Counseling / Emotional Support,NGO National,Free,070-7308308,,,National,Island wide,Island-wide,National,Sri Lanka,Emotional support,Daily,,,,"<tr><td>Sri Lanka Sumithrayo Hotline<div class=""e-mail""></div></td><td>National</td><td>Island wide</td><td><a href=""tel:070-7308308"" class=""phone-link"">070-7308308</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
46,FPA Alokaya Counselling Center,Counseling,NGO Counseling,Free,077-9895252,,,National,Island wide,Colombo,National,Sri Lanka,Counselling services,,,,,"<tr><td>FPA Alokaya Counselling Center<div class=""e-mail""></div></td><td>National</td><td>Island wide</td><td><a href=""tel:077-9895252"" class=""phone-link"">077-9895252</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
